54 		Percy Sledge 	When a Man Loves a Woman 	2:52 	97.8 	1966 	Slow 	POWERTRK_033-01 	(details...)
55 		The Kingsmen 	Louie Louie 	2:42 	124.0 	1963 	Rock 1960s 	POWERTRK_017-16 	(details...)
56 		Little Richard 	Long Tall Sally 	2:06 	189.8 	1956 	Rock 1950s 	POWERTRK_118-08 	(details...)
57 		Procol Harum 	A Whiter Shade of Pale 	4:04 	148.6 	1967 	Slow 	POWERTRK_027-08 	(details...)
58 		Michael Jackson 	Billie Jean 	4:54 	117.0 	1983 	Dance 1980s 	POWERTRK_008-08 	(details...)
59 		Bob Dylan 	The Times They Are A-Changin' 	3:11 	86.1 	1967 	Rock 1960s 	POWERTRK_154-11 	(details...)
60 		Al Green 	Let's Stay Together 	3:17 	102.2 	1971 	Slow 	POWERTRK_045-07 	(details...)
61 		Jerry Lee Lewis 	Whole Lotta Shakin' Going On 	2:51 	121.0 	1957 	Rock 1950s 	POWERTRK_017-12 	(details...)
62 		Bo Diddley 	Bo Diddley 	2:20 	106.0 	1957 	TBD 	HOTSTUFF_029-12 	(details...)
63 		Buffalo Springfield 	For What It's Worth (Stop, Hey What's That Sound) 	2:38 	99.4 	1967 	Rock 1960s 	POWERTRK_071-04 	(details...)
64 		The Beatles 	She Loves You 	2:22 	149.8 	1966 	Rock 1960s 	BEATLES__RDA-04 	(details...)
65 		Cream 	Sunshine of Your Love 	4:11 	115.0 	1968 	Rock 1960s 	POWERTRK_063-04 	(details...)
66 		Bob Marley & The Wailers 	Redemption Song 	3:48 	116.0 	1980 	Reggae 	BOBMARLY_G1A-12 	(details...)
67 		Elvis Presley 	Jailhouse Rock 	2:27 	84.2 	1957 	Rock 1950s 	POWERTRK_041-03 	(details...)
68 		Bob Dylan 	Tangled Up in Blue 	5:43 	99.2 	1994 	TBD 	DTRANDOM_008-04 	(details...)
69 		Roy Orbison 	Crying 	2:47 	97.1 	2006 	TBD 	DTRANDOM_003-12 	(details...)
70 		Dionne Warwick 	Walk on By 	2:44 	99.3 	1964 	Slow 	POWERTRK_166-15 	(details...)
71 		The Beach Boys 	California Girls 	2:37 	116.3 	1965 	Rock 1960s 	POWERTRK_078-06 	(details...)
72 		James Brown 	Papa's Got a Brand New Bag Part 1 	2:03 	130.2 	1965 	Rock 1960s 	POWERTRK_025-17 	(details...)
73 		Eddie Cochran 	Summertime Blues 	1:59 	157.2 	1970 	Rock 1970s 	ESSENTLS_001-22 	(details...)
74 		Stevie Wonder 	Superstition 	4:25 	101.3 	1972 	Disco 	POWERTRK_017-13 	(details...)
75 		Led Zeppelin 	Whole Lotta Love 	5:33 	92.1 	1969 	Rock 1960s 	POWERTRK_065-17 	(details...)
76 		The Beatles 	Strawberry Fields Forever 	4:08 	99.2 	1969 	Rock 1960s 	BEATLES__BLA-01 	(details...)
77 		Elvis Presley 	Mystery Train 	2:27 	121.0 	2000 	TBD 	DTRANDOM_004-15 	(details...)
78 		James Brown 	I Got You 	2:46 	147.5 	1965 	Rock 1960s 	POWERTRK_037-14 	(details...)
79 		The Byrds 	Mr. Tambourine Man 	2:18 	122.3 	1965 	Rock 1960s 	POWERTRK_065-16 	(details...)
80 		Marvin Gaye 	I Heard It Through the Grapevine 	5:03 	118.1 	1968 	Rock 1960s 	POWERTRK_029-01 	(details...)
81 		Fats Domino 	Blueberry Hill 	2:19 	125.5 	1956 	Slow 	POWERTRK_055-03 	(details...)
82 		The Kinks 	You Really Got Me 	2:13 	138.0 	1964 	Rock 1960s 	POWERTRK_041-17 	(details...)
83 		The Beatles 	Norwegian Wood (This Bird Has Flown) 	2:05 	88.7 	1966 	Rock 1960s 	BEATLES__RDB-06 	(details...)
84 		The Police 	Every Breath You Take 	4:13 	117.4 	1983 	Slow 	POWERTRK_033-10 	(details...)
85 		Patsy Cline 	Crazy 	2:41 	110.8 	1961 	Country 	POWERTRK_048-06 	(details...)
86 		Bruce Springsteen 	Thunder Road 	4:51 	144.0 	1975 	TBD 	DTRANDOM_005-05 	(details...)
87 		Johnny Cash 	Ring of Fire 	2:38 	103.4 	1963 	Country 	POWERTRK_051-13 	(details...)
88 		The Temptations 	My Girl 	2:42 	105.1 	1965 	Slow 	POWERTRK_015-05 	(details...)
89 		The Mamas & the Papas 	California Dreamin' 	2:39 	113.0 	1966 	Rock 1960s 	POWERTRK_026-01 	(details...)
90 		The Five Satins 	In the Still of the Night 	3:02 	105.4 	1956 	Slow 	POWERTRK_015-06 	(details...)
91 		Elvis Presley 	Suspicious Minds 	3:20 	114.8 	1969 	Rock 1960s 	POWERTRK_130-13 	(details...)
92 		Ramones 	Blitzkrieg Bop 	2:12 	88.4 	1976 	Rock 1970s 	POWERTRK_071-13 	(details...)
93 		U2 	I Still Haven't Found What I'm Looking For 	4:37 	100.6 	1987 	Rock 1980s 	POWERTRK_042-02 	(details...)
94 		Little Richard 	Good Golly Miss Molly 	2:07 	84.4 	1958 	Rock 1950s 	POWERTRK_019-04 	(details...)
95 		Carl Perkins 	Blue Suede Shoes 	2:14 	85.9 	1956 	Rock 1950s 	POWERTRK_078-05 	(details...)
96 		Jerry Lee Lewis 	Great Balls of Fire 	1:51 	161.2 	1957 	Rock 1950s 	POWERTRK_005-12 	(details...)
97 		Chuck Berry 	Roll Over Beethoven 	2:25 	92.8 	1959 	TBD 	DTRANDOM_009-06 	(details...)
98 		Al Green 	Love And Happiness 	5:07 	98.9 	1972 	TBD 	DTRANDOM_001-14 	(details...)
99 		Creedence Clearwater Revival 	Fortunate Son 	2:20 	132.7 	1969 	Rock 1970s 	CCR______GH1-09 	(details...)
100 		The Rolling Stones 	You Can't Always Get What You Want 	7:30 	91.7 	1969 	TBD 	HOTSTUFF_023-20 	(details...)
101 		Jimi Hendrix 	Voodoo Child 	5:13 	118.6 	1993 	TBD 	DTRANDOM_004-19 	(details...)
102 		Gene Vincent 	Be-Bop-A-Lula 	2:35 	127.8 	1956 	Rock 1950s 	POWERTRK_027-16 	(details...)
103 		Donna Summer 	Hot Stuff 	3:50 	120.1 	1979 	Disco 	POWERTRK_019-09 	(details...)
104 		Stevie Wonder 	Living for the City 	7:25 	99.1 	1973 	Rock 1980s 	STVWONDR_GH1-11 	(details...)
105 		Simon & Garfunkel 	The Boxer 	5:09 	96.2 	1969 	Rock 1970s 	SIMONGRF_GH1-18 	(details...)
106 		Bob Dylan 	Mr. Tambourine Man 	5:28 	88.1 	1967 	TBD 	DTRANDOM_009-02 	(details...)
107 		Buddy Holly 	Not Fade Away 	2:16 	97.5 	1999 	TBD 	DTRANDOM_003-19 	(details...)
108 		Prince 	Little Red Corvette 	4:56 	123.2 	1983 	Dance 1980s 	POWERTRK_014-19 	(details...)
109 		Van Morrison 	Brown Eyed Girl 	3:03 	151.1 	1967 	Rock 1960s 	POWERTRK_057-02 	(details...)
110 		Otis Redding 	I've Been Loving You Too Long (To Stop Now) 	3:13 	117.4 	1965 	TBD 	DTRANDOM_007-12 	(details...)
111 		Hank Williams 	I'm So Lonesome I Could Cry 	2:49 	111.9 	1970 	TBD 	DTRANDOM_005-18 	(details...)
112 		Elvis Presley 	That's All Right 	1:57 	105.5 	2000 	TBD 	DTRANDOM_008-06 	(details...)
113 		The Drifters 	Up on the Roof 	2:37 	121.3 	1962 	Rock 1960s 	POWERTRK_112-06 	(details...)
114 		The Crystals 	Da Doo Ron Ron 	2:18 	147.6 	1992 	TBD 	DTRANDOM_002-16 	(details...)
115 		Sam Cooke 	You Send Me 	2:45 	95.7 	1957 	Slow 	POWERTRK_031-17 	(details...)
116 		The Rolling Stones 	Honky Tonk Woman 	3:00 	121.2 	1969 	TBD 	HOTSTUFF_029-16 	(details...)
